id,codigo_barras,nombre,marca,categoria,departamento,unidad,precio,precio_descuento,desde_piezas,precio_caja,piezas_caja,precio_unitario_valor,precio_unitario_unidad,stock,disponible
4831011,744886385058,Refresco Jarritos Sabor Piña 2 L,JARRITOS,REFRESCO DE SABOR,Bebidas y Jugos,PZA,22.5,21.64,,173.1,8,11.25,L,306,True
4831013,744886405053,Refresco Jarritos Sabor Tuti Fruti 2 L,JARRITOS,REFRESCO DE SABOR,Bebidas y Jugos,PZA,22.5,21.64,,173.1,8,11.25,L,352,True
4831030,44886328826,Refresco Jarritos Surtido 600 Ml,JARRITOS,REFRESCO DE SABOR,Bebidas y Jugos,PZA,12.5,11.2,,268.8,24,20.83,L,1785,True
4790512,7501031360024,Refresco Manzanita Sol Sabor Manzana 600 Ml,MANZANITA SOL,REFRESCO DE SABOR,Bebidas y Jugos,PZA,17.3,14.65,,175.8,12,28.83,L,186,True
4780805,7501055305629,Refresco Sabor Lima-Limón Sprite 600 Ml,SPRITE,REFRESCO DE SABOR,Bebidas y Jugos,PZA,15.0,,,180.0,12,25.0,L,67,True
4780802,7501041301413,Refresco Sabor Manzana Sidral Mundet 600 Ml,SIDRAL,REFRESCO DE SABOR,Bebidas y Jugos,PZA,15.0,,,180.0,12,25.0,L,199,True
4790412,7501031345052,Refresco Sabor Naranja Mirinda 600 Ml,MIRINDA,REFRESCO DE SABOR,Bebidas y Jugos,PZA,17.3,14.65,,175.8,12,28.83,L,65,True
0000369,7500326103346,Refresco Sangría Señorial 2.6L,SEÑORIAL,REFRESCO DE SABOR,Bebidas y Jugos,PZA,44.2,39.75,,238.5,6,17.0,L,267,True
0000370,7500326103360,Refresco Sangría Señorial 600 ml,SEÑORIAL,REFRESCO DE SABOR,Bebidas y Jugos,PZA,16.9,15.16,,363.8,24,28.17,L,483,True
4790631,7501055340422,Refresco Sidral Mundet 3L,SIDRAL,REFRESCO DE SABOR,Bebidas y Jugos,PZA,38.1,34.25,,274.0,8,12.7,L,71,True
4780205,7501055304653,Refresco Sin Gas Delaware Punch Uva 600 ml,DELAWARE,REFRESCO DE SABOR,Bebidas y Jugos,PZA,17.7,15.87,,190.4,12,29.5,L,199,True
4790630,7501055304806,Refresco Sprite 3L,SPRITE,REFRESCO DE SABOR,Bebidas y Jugos,PZA,37.8,34.0,,272.0,8,12.6,L,343,True
4790627,7501071120305,Refresco Squirt 3 L,SQUIRT,REFRESCO DE SABOR,Bebidas y Jugos,PZA,45.2,39.31,,314.5,8,15.07,L,357,True
4790612,7501071120183,Refresco Squirt Sabor Toronja 600 Ml,SQUIRT,REFRESCO DE SABOR,Bebidas y Jugos,PZA,16.9,14.33,,172.0,12,28.17,L,214,True
4790334,7501022014066,REFRESCO 7UP 12-355 ML (CONV),7UP,REFRESCOS,Bebidas y Jugos,PZA,7.5,,,90.0,12,21.13,L,22,True
9998104,7501055332175,REFRESCO COCA COLA REGULAR PET 12-355 ML (CONV),COCA COLA,REFRESCOS,Conveniencia,PZA,12.0,,,144.0,12,33.8,L,659,True
9998149,7501055356256,REFRESCO COCA COLA ZERO PET 12-355 ML (CONV),COCA COLA,REFRESCOS,Bebidas y Jugos,PZA,7.0,7.0,,84.0,12,19.72,L,30,True
4790336,7501022015476,REFRESCO MANZANITA SOL 12-355 ML (CONV),MANZANITA SOL,REFRESCOS,Bebidas y Jugos,PZA,7.5,,,90.0,12,21.13,L,67,True
4790335,7501022015681,REFRESCO MIRINDA 12-355 ML (CONV),MIRINDA,REFRESCOS,Bebidas y Jugos,PZA,7.5,,,90.0,12,21.13,L,62,True
4790333,7501031310241,REFRESCO PEPSI 12-355 ML (CONV),PEPSI,REFRESCOS,Bebidas y Jugos,PZA,7.5,,,90.0,12,21.13,L,51,True
4790332,7501022013861,REFRESCO PEPSI BLACK 12-355 ML (CONV),PEPSI,REFRESCOS,Bebidas y Jugos,PZA,7.9,,,94.8,12,22.25,L,33,True
4790337,7501071120015,REFRESCO SQUIRT 12-355 ML (CONV),SQUIRT,REFRESCOS,Bebidas y Jugos,PZA,7.5,,,90.0,12,21.13,L,63,True
4779926,7501480700242,REFRESCO TEHUACAN LIMONADA 12-600 ML (CONV),TEHUACAN,REFRESCOS,Conveniencia,PZA,15.9,,,190.8,12,26.5,L,49,True
4779920,7501480760017,REFRESCO TEHUACAN MANZANA 24-600 ML (CONV),TEHUACAN,REFRESCOS,Conveniencia,PZA,14.5,,,348.0,24,24.17,L,107,True
